#{"env_id": "SetDown-v3", "t_start": 1532516374.5233774}
r,l,t
291,1500,4.558147
363,1500,9.135909
149,1500,13.212714
628,1500,17.526181
239,1182,20.985176
263,1500,25.342845
477,1500,29.559582
598,1441,33.572165
240,1500,37.705474
193,1500,41.769574
129,1500,45.751911
498,1352,49.447041
306,1500,53.596675
440,1500,57.576231
377,1500,61.678331
706,1500,65.577506
681,1500,69.392167
514,1500,73.282429
470,1500,77.125495
630,1500,80.993268
350,1500,84.878176
391,1346,88.381161
697,1500,92.249061
523,1500,96.232015
760,1500,100.121385
804,1500,104.045842
506,1395,107.724708
376,1251,111.135148
405,1354,114.726539
272,1182,117.880804
428,1331,121.116785
815,1500,124.939147
689,1500,128.774286
850,1500,132.796771
745,1500,136.712848
387,1202,139.923316
754,1500,143.871397
245,937,146.564756
846,1478,150.372282
875,1500,154.322022
895,1500,158.244898
839,1500,162.092016
941,1500,166.028175
265,1085,168.973931
431,1305,172.14777
157,933,174.779804
449,1267,178.159408
905,1500,182.042602
790,1500,186.042478
560,1500,190.009627
850,1500,193.963528
495,1446,197.779954
145,1077,200.809024
284,1134,203.67567
177,1179,206.87405
278,1208,210.105802
867,1500,214.08863
455,1367,217.755646
484,1500,222.029215
257,1020,224.696724
535,1338,228.7158
780,1500,232.589932
613,1500,236.610431
802,1500,240.582279
506,1369,244.16319
214,1013,247.152538
413,1220,250.48584
818,1500,254.558006
897,1500,258.682041
403,1243,262.052581
893,1500,266.285488
192,1154,269.534343
509,1500,273.665629
410,1486,277.729704
310,1308,281.350929
867,1500,285.338428
185,957,288.115554
410,1332,291.605072
340,1191,294.774155
770,1500,298.624007
831,1500,302.609383
348,1213,305.595835
459,1255,308.927704
408,1277,312.394403
912,1500,316.349678
783,1500,320.288314
196,1292,323.742651
281,1180,326.944876
818,1500,330.854401
755,1500,334.750309
490,1408,338.454951
780,1500,342.389437
727,1500,346.267431
716,1500,350.280194
364,1147,353.165867
828,1500,357.187339
574,1500,361.166547
492,1398,364.850586
655,1199,368.090282
41,773,370.526653
243,1178,373.553627
90,1277,376.933959
731,1500,380.780312
444,1424,384.488739
406,1365,388.079704
518,1353,391.675109
447,1362,395.530992
401,1211,398.878921
621,1500,402.913398
327,1224,406.290401
568,1500,410.215784
438,1261,413.334788
883,1500,417.298328
226,1096,420.380409
896,1500,424.340821
615,1239,427.858053
804,1500,432.260031
824,1500,436.250159
451,1500,440.257482
770,1500,444.292682
601,1500,448.426408
323,1326,451.996609
217,1387,455.679531
643,1500,459.554513
691,1500,463.38285
866,1500,467.291565
130,1072,469.987196
810,1500,473.834007
796,1500,477.872112
268,1134,481.036385
494,1500,484.928852
604,1466,488.800468
270,1098,491.830158
934,1500,495.768996
213,1016,498.629751
246,1159,501.685716
95,917,504.602295
286,1162,507.790721
393,1315,511.374463
204,1101,514.149469
906,1500,518.159687
530,1500,522.013292
291,1180,525.174291
301,1048,528.177565
787,1500,532.078261
458,1500,536.142244
518,1197,539.369655
457,1052,542.085731
190,1090,545.128478
500,1188,548.321831
429,1192,551.585475
897,1500,555.875528
313,1182,559.076199
938,1500,563.191096
163,979,566.16779
728,1422,569.999027
152,972,573.020611
